ParticipantID,Condition,pre_EMA,pre_strain_impulse,pre_peak_strain,pre_mean_strain,pre_peak_Fr,post_EMA,post_strain_impulse,post_peak_strain,post_mean_strain,post_peak_Fr
GJ03,Flats,,,,,,0.251096944,2.904261933,9.086142799,2.674496979,1115.834933
GJ03,Heels,,,,,,0.265547298,2.242827432,8.28984051,2.224409852,1093.442964
GP04,Flats,0.294300546,1.419077549,4.836328234,1.316317544,897.8477443,0.25988054,1.749027459,5.593630492,1.602304177,850.0728571
GP04,Heels,0.315895408,1.046027915,3.809087681,1.039717958,930.212717,0.27054999,1.335806908,4.779107165,1.272556201,932.4805011
DF07,Flats,,,,,,,,,,
DF07,Heels,0.273656118,1.877863498,6.709786442,1.869989519,977.0328423,,,,,
OJ08,Flats,0.338575931,2.821210564,7.601870321,2.424021523,959.3260304,0.333708358,2.298220296,6.766923995,2.109757827,974.1146887
OJ08,Heels,0.374250289,2.116650163,7.104340616,1.823846606,1067.401948,0.366900946,1.798257631,6.33980305,1.563722428,1014.038141
RL10,Flats,0.274467022,1.892316055,6.154957691,1.627337346,846.8979521,0.294168619,1.869487062,6.055148093,1.578159096,797.3664108
RL10,Heels,0.315487504,1.446981096,4.900605496,1.286087322,860.3200916,0.308894662,1.605017005,5.826997926,1.307652837,906.0401652
SS11,Flats,0.292555501,1.894523685,5.08172784,1.550227831,626.3251846,0.27270546,1.478337678,4.332835846,1.282407855,640.8219428
SS11,Heels,0.304662032,1.501658297,4.816890922,1.304492652,653.2906724,0.297209708,0.965203931,3.725308,0.879734476,665.3985503
BO11,Flats,,,,,,0.237759378,1.43893581,4.358348374,1.211528787,867.4793761
BO11,Heels,,,,,,0.260579343,1.030305781,3.906362773,0.916928577,896.9806535
SE15,Flats,0.279442643,2.431227144,8.878902661,2.247934274,666.1500783,0.252874005,2.532294759,7.538902403,1.803290813,692.4106089
SE15,Heels,0.300254631,2.065225488,8.245215574,1.916479152,670.8759746,0.265228198,1.824964982,7.209790923,1.625732802,706.0702471
